PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_0922400	6.904880854	31.3711135	12.47226633	13.90104779	8.681952957	0
PF3D7_0922500	893.0312571	73.68563869	835.6418444	772.8391035	11.57593728	9.46667311
PF3D7_0922600	392.0437907	54.71705843	83.74235968	87.54702435	228.6247612	326.6002223
PF3D7_0922700	84.39298821	131.3209402	87.30586434	83.40628671	144.699216	87.56672627
PF3D7_0922800	99.73716789	147.3712774	134.5223012	154.0945935	40.51578047	42.60002899
PF3D7_0922900	9.206507805	13.13209402	76.61535034	86.06818948	40.51578047	54.43337038
PF3D7_0923000	37.5932402	29.18243116	36.52592284	34.01320203	0	0
PF3D7_0923100	11.50813476	18.23901948	4.454380834	7.394174354	0	0
PF3D7_0923200	77.48810736	38.66672129	42.762056	55.60419114	0	2.366668277
PF3D7_0923300	6.13767187	0	0.890876167	3.54920369	0	0
PF3D7_0923400	36.05882224	70.76739557	91.76024518	74.53327749	5.787968638	2.366668277
PF3D7_0923500	13.04255272	37.20759973	0	2.366135793	0	2.366668277
PF3D7_0923600	2.301626951	13.8616548	10.690514	13.60528081	5.787968638	2.366668277
PF3D7_0923700	8.439298821	29.91199194	0.890876167	2.070368819	0	0
PF3D7_0923800.1	2.301626951	10.94341169	4.454380834	5.619572509	0	0
PF3D7_0923800.2	0	0	0	0	0	0
PF3D7_0923900	65.9799726	43.77364674	184.4113665	177.1644175	8.681952957	11.83334139
PF3D7_0924000	125.8222733	110.1636776	30.28978967	26.61902767	491.9773342	343.1669002
PF3D7_0924100	12.27534374	15.32077636	26.726285	21.88675609	0	0
PF3D7_0924200	13.04255272	6.566047012	40.98030367	27.5063286	0	0
PF3D7_0924300	15.34417967	21.88682337	26.726285	32.23860018	0	0
PF3D7_0924400	136.5631991	231.270767	290.4256304	273.2886841	115.7593728	80.46672143
PF3D7_0924500	13.80976171	45.2327683	24.0536565	11.53491199	46.30374911	28.40001933
PF3D7_0924600	730.3829525	1742.920701	14.25401867	22.77405701	2.893984319	4.733336555
PF3D7_0924700	26.08510545	21.15726259	77.50622651	67.43487011	2.893984319	7.100004832
PF3D7_0924800	36.05882224	83.89948959	0	0.295766974	0	0
PF3D7_0924900	4.603253902	10.94341169	0.890876167	2.070368819	11.57593728	16.56667794
PF3D7_0925000	40.66207614	68.57871323	10.690514	23.95712491	5.787968638	4.733336555
PF3D7_0925100	123.5206464	316.6293781	6.236133167	15.9714166	1148.911775	965.6006572
PF3D7_0925200	64.44555463	85.35861115	58.79782701	66.84333616	1117.077947	904.067282
PF3D7_0925300	6.904880854	7.295607791	26.726285	26.91479465	0	4.733336555
PF3D7_0925400	26.85231443	54.71705843	63.25220784	60.04069575	8.681952957	4.733336555
PF3D7_0925500	4.603253902	18.23901948	48.99818917	40.52007546	5.787968638	2.366668277
PF3D7_0925600	11.50813476	24.80506649	6.236133167	9.168776199	2.893984319	0
PF3D7_0925700	129.6583183	57.63530155	120.2682825	188.6993295	0	9.46667311
PF3D7_0925800	79.78973431	101.4089483	142.5401867	178.3474854	2.893984319	4.733336555
PF3D7_0925900	235.533158	38.66672129	34.7441705	30.75976531	11.57593728	16.56667794
PF3D7_0926000	25.31789646	53.98749765	19.59927567	29.28093044	2.893984319	4.733336555
PF3D7_0926100	662.101353	466.9188986	296.6617635	310.5553229	46.30374911	49.70003383
PF3D7_0926200	10.74092577	13.8616548	2.6726285	4.140737638	2.893984319	2.366668277
PF3D7_0926300	128.1239003	243.6733002	13.3631425	24.84442583	54.98570206	78.10005316
PF3D7_0926400	339.8735798	697.4601048	80.17885501	61.22376365	5.787968638	2.366668277
PF3D7_0926500	42.96370309	113.8114815	203.119766	304.3442164	69.45562366	99.40006765
PF3D7_0926600	0	0	7.127009334	9.168776199	0	0
PF3D7_0926700	46.79974801	20.42770181	81.96060734	64.18143339	5.787968638	2.366668277
PF3D7_0926800	95.13391398	191.8744849	97.10550218	120.9686924	11.57593728	2.366668277
PF3D7_0926900	12.27534374	21.15726259	52.56169384	48.21001679	0	0
PF3D7_0927000	13.04255272	16.05033714	19.59927567	20.70368819	2.893984319	0
PF3D7_0927100	13.04255272	64.93090934	101.559883	120.6729255	0	4.733336555
PF3D7_0927200	71.35043549	215.2204298	12.47226633	21.59098911	243.0946828	757.3338488
PF3D7_0927300	9.206507805	9.484290128	49.88906534	53.8295893	2.893984319	7.100004832
PF3D7_0927400	82.85857024	202.0883358	0	2.366135793	0	7.100004832
PF3D7_0927500	6.13767187	21.88682337	1.781752334	0.887300922	0	0
PF3D7_0927600	207.9136346	612.1014936	113.1412732	99.08193634	54.98570206	35.50002416
PF3D7_0927700	1.534417967	18.23901948	34.7441705	34.60473598	0	2.366668277
PF3D7_0927800	26.85231443	105.0567522	149.667196	156.1649624	0	2.366668277
PF3D7_0927900	68.28159955	94.1133405	57.01607467	75.71634538	636.6765502	584.5670645
PF3D7_0928000.1	3.068835935	2.188682337	3.563504667	5.915339483	14.4699216	21.3000145
PF3D7_0928000.2	0	0	0	0	0	0
PF3D7_0928100	72.88485346	165.6102969	1.781752334	3.54920369	2.893984319	0
PF3D7_0928200	49.10137496	26.26418805	21.381028	23.36559096	0	0
PF3D7_0928300	12.27534374	6.566047012	7.127009334	12.12644594	0	0
PF3D7_0928400	2.301626951	4.377364674	1.781752334	2.366135793	2.893984319	4.733336555
PF3D7_0928500	17.64580663	28.45287038	14.25401867	22.47829004	8.681952957	9.46667311
PF3D7_0928600	4.603253902	24.07550571	2.6726285	4.436504612	0	2.366668277
PF3D7_0928700	8.439298821	20.42770181	57.01607467	39.92854151	2.893984319	0
PF3D7_0928800	8.439298821	28.45287038	12.47226633	20.11215424	5.787968638	11.83334139
PF3D7_0928900	27.61952341	7.295607791	12.47226633	19.22485332	0	0
PF3D7_0929000	29.15394138	25.53462727	39.19855134	33.12590111	31.83382751	44.96669727
PF3D7_0929100	4.603253902	13.8616548	40.0894275	57.67455996	0	4.733336555
PF3D7_0929200	99.73716789	56.17617999	145.2128152	136.6443421	20.25789023	21.3000145
PF3D7_0929300	9.973716789	34.28935662	55.23432234	63.29413247	17.36390591	7.100004832
PF3D7_0929400	21.48185154	80.98124648	11.58139017	25.73172675	5.787968638	7.100004832
PF3D7_0929500	12.27534374	33.55979584	0	0	0	0
PF3D7_0929600	69.04880854	159.0442498	1.781752334	1.183067897	0	7.100004832
PF3D7_0929700	3.068835935	5.106925454	11.58139017	8.57724225	0	0
PF3D7_0929800	0.767208984	0.729560779	0.890876167	2.070368819	0	0
PF3D7_0929900	12.27534374	23.34594493	4.454380834	4.140737638	0	0
PF3D7_0930000	616.0688139	1591.172059	0.890876167	0.591533948	0	0
PF3D7_0930100	9.206507805	17.5094587	20.49015184	25.43595978	17.36390591	18.93334622
PF3D7_0930200	62.14392768	134.9687441	8.017885501	4.436504612	109.9714041	71.00004832
PF3D7_0930300	2.301626951	11.67297247	20.49015184	18.3375524	894.2411546	676.8671274
PF3D7_0930400.1	4.603253902	0.729560779	2.6726285	2.957669742	5.787968638	2.366668277
PF3D7_0930400.2	0	0	0	0.295766974	0	0
PF3D7_0930500	54.47183785	36.47803895	39.19855134	41.40737638	14.4699216	21.3000145
PF3D7_0930600	36.82603122	36.47803895	30.28978967	31.35129926	26.04585887	18.93334622
PF3D7_0930700	10.74092577	18.23901948	26.726285	14.49258173	2.893984319	0
PF3D7_0930800	141.933662	207.1952613	126.5044157	79.85708302	668.5103777	520.667021
PF3D7_0930900	3.836044919	7.295607791	4.454380834	4.732271586	2.893984319	4.733336555
PF3D7_0931000	17.64580663	8.754729349	24.0536565	28.39362952	8.681952957	7.100004832
PF3D7_0931100	156.5106327	28.45287038	149.667196	146.1088852	54.98570206	92.30006282
PF3D7_0931200	16.11138866	5.106925454	5.345257001	8.281475276	0	0
PF3D7_0931300	2.301626951	6.566047012	40.0894275	67.43487011	5.787968638	7.100004832
